============================================================
  ADS-B RECEIVER STATISTICS
============================================================
  Data points   : 362,666
  Unique aircraft: 760
  Date range    : 2025-11-20 to 2026-02-06
  Days of data  : 79
  Flight sessions: 8,432

------------------------------------------------------------
  TOP 760 — TIME IN AIRSPACE (cumulative observed time)
------------------------------------------------------------
    1. N738BJ           1h 18m 39s   (109 sessions)
    2. N184AF           1h 18m 31s   (131 sessions)
    3. N256SF           1h 17m 55s   (187 sessions)
    4. N3517S           1h 16m 59s   (143 sessions)
    5. N268FM           1h 12m 11s   (172 sessions)
    6. N265SF             1h 5m 7s   (163 sessions)
    7. N264SF            1h 3m 16s   (150 sessions)
    8. N65584            1h 1m 35s   (94 sessions)
    9. N259SF              59m 58s   (148 sessions)
   10. N58FF               57m 58s   (124 sessions)
   11. N4547E              55m 23s   (120 sessions)
   12. N25430              54m 45s   (87 sessions)
   13. N53FF               53m 54s   (119 sessions)
   14. N254SF              51m 44s   (144 sessions)
   15. N76FF               50m 27s   (121 sessions)
   16. N263SF              50m 14s   (125 sessions)
   17. N4052F              48m 53s   (101 sessions)
   18. N140PC              47m 35s   (101 sessions)
   19. N120FM              46m 19s   (117 sessions)
   20. N4345G              45m 54s   (74 sessions)
   21. N303EH              43m 46s   (97 sessions)
   22. N547ND              42m 52s   (101 sessions)
   23. N96FF               42m 39s   (111 sessions)
   24. N537ND              42m 35s   (92 sessions)
   25. N224VS              42m 16s   (97 sessions)
   26. N514MT              41m 26s   (97 sessions)
   27. N816RD               41m 5s   (93 sessions)
   28. N201TH              40m 42s   (98 sessions)
   29. CXK548              40m 11s   (89 sessions)
   30. N79FF                40m 8s   (105 sessions)
   31. N57FF               38m 57s   (90 sessions)
   32. CXK292              38m 50s   (98 sessions)
   33. N810KK              36m 39s   (83 sessions)
   34. N927TS              35m 26s   (80 sessions)
   35. N29HT               34m 14s   (86 sessions)
   36. N4632F              33m 54s   (72 sessions)
   37. N5335S              32m 51s   (71 sessions)
   38. N5178S              32m 51s   (88 sessions)
   39. N561ND              32m 28s   (88 sessions)
   40. N25CW               31m 16s   (70 sessions)
   41. N48FF               30m 54s   (83 sessions)
   42. N75FF               30m 46s   (78 sessions)
   43. N406JA               30m 9s   (67 sessions)
   44. N5290V              29m 54s   (72 sessions)
   45. N31399              29m 16s   (39 sessions)
   46. N1132W              28m 58s   (68 sessions)
   47. N152SA              27m 52s   (51 sessions)
   48. N522ND              26m 20s   (70 sessions)
   49. CXK594              26m 18s   (65 sessions)
   50. N45941              26m 16s   (40 sessions)
   51. N9908K              24m 56s   (72 sessions)
   52. N2168D              24m 51s   (49 sessions)
   53. N526ND              24m 16s   (63 sessions)
   54. N692CF              24m 13s   (67 sessions)
   55. N735CF              24m 13s   (55 sessions)
   56. N580ET              23m 43s   (78 sessions)
   57. N601LS              23m 14s   (70 sessions)
   58. N65251               23m 5s   (74 sessions)
   59. N30147              22m 45s   (60 sessions)
   60. N545Z               22m 36s   (50 sessions)
   61. N929CD              22m 32s   (49 sessions)
   62. N342FG              22m 28s   (54 sessions)
   63. N65440              21m 18s   (42 sessions)
   64. N75839              20m 40s   (42 sessions)
   65. N739ZN              20m 19s   (46 sessions)
   66. CXK699              20m 19s   (56 sessions)
   67. N3128T               20m 5s   (73 sessions)
   68. N5138R              19m 58s   (51 sessions)
   69. N331CH               19m 5s   (51 sessions)
   70. CXK461              18m 47s   (54 sessions)
   71. N97FF               18m 18s   (43 sessions)
   72. N621FJ               18m 9s   (43 sessions)
   73. CXK442              16m 40s   (46 sessions)
   74. CXK657              16m 36s   (38 sessions)
   75. N721FJ              15m 38s   (49 sessions)
   76. N821FJ              15m 23s   (44 sessions)
   77. CXK430              15m 18s   (40 sessions)
   78. CXK298              15m 10s   (36 sessions)
   79. N6UX                 15m 9s   (18 sessions)
   80. CXK455               15m 5s   (36 sessions)
   81. N442SA              14m 47s   (30 sessions)
   82. N736QG               14m 3s   (35 sessions)
   83. N1218S              13m 29s   (36 sessions)
   84. N248JS              13m 10s   (34 sessions)
   85. N530PS              12m 41s   (22 sessions)
   86. N549ND              12m 32s   (35 sessions)
   87. N2552X               12m 9s   (28 sessions)
   88. CXK142               12m 5s   (25 sessions)
   89. N478BC              11m 46s   (25 sessions)
   90. N720CL              10m 22s   (24 sessions)
   91. CXK141               9m 49s   (24 sessions)
   92. N225WS               9m 13s   (20 sessions)
   93. N8352T               8m 46s   (21 sessions)
   94. N491LG               8m 35s   (26 sessions)
   95. N68BC                8m 30s   (14 sessions)
   96. CXK318               8m 26s   (20 sessions)
   97. N555YS               7m 38s   (19 sessions)
   98. N184EH               7m 14s   (20 sessions)
   99. CXK550                7m 2s   (20 sessions)
  100. N610SL               6m 44s   (12 sessions)
  101. CXK1106              6m 38s   (15 sessions)
  102. N336PA               6m 14s   (16 sessions)
  103. N648F                5m 47s   (10 sessions)
  104. N4464D               5m 41s   (14 sessions)
  105. N12772               5m 31s   (13 sessions)
  106. N2347X                5m 5s   (11 sessions)
  107. N364D                4m 58s   (9 sessions)
  108. N173DC               4m 36s   (12 sessions)
  109. N34043               4m 34s   (10 sessions)
  110. N509AM               4m 32s   (13 sessions)
  111. N940W                4m 22s   (9 sessions)
  112. CXK1020              4m 22s   (14 sessions)
  113. N86168               4m 22s   (7 sessions)
  114. N1648H                4m 9s   (9 sessions)
  115. N973HA                4m 2s   (13 sessions)
  116. N4633J                4m 0s   (10 sessions)
  117. CXK674               3m 52s   (8 sessions)
  118. N360ES               3m 50s   (7 sessions)
  119. N205UU               3m 49s   (9 sessions)
  120. N164RM               3m 41s   (9 sessions)
  121. CXK1143              3m 39s   (8 sessions)
  122. N869TA               3m 37s   (9 sessions)
  123. N96038               3m 32s   (8 sessions)
  124. N3664U               3m 25s   (11 sessions)
  125. ALIFE2               3m 23s   (8 sessions)
  126. N252BS               3m 16s   (8 sessions)
  127. N584RH               3m 16s   (5 sessions)
  128. N956GM               3m 14s   (5 sessions)
  129. N909MA               3m 14s   (7 sessions)
  130. N284L                3m 10s   (7 sessions)
